id,name,code,account_type,chart_template_id/id,reconcile
a6710,"Citu periodu ieņēmumi, kas attiecas uz pārskata periodu",6710,income_other,l10n_lv.account_chart_template_latvia,False
a6910,Dzīvokļu saimniecības ieņēmumi,6910,income_other,l10n_lv.account_chart_template_latvia,False
a6920,Komunālas saimniecības ieņēmumi,6920,income_other,l10n_lv.account_chart_template_latvia,False
a6930,Sadzīves pakalpojumu ieņēmumi,6930,income_other,l10n_lv.account_chart_template_latvia,False
a6940,Sabiedriskās ēdināšanas ieņēmumi,6940,income_other,l10n_lv.account_chart_template_latvia,False
a6950,Izglītības iestāžu ieņēmumi,6950,income_other,l10n_lv.account_chart_template_latvia,False
a6960,Medicīniskās apkalpošanas ieņēmumi,6960,income_other,l10n_lv.account_chart_template_latvia,False
a6970,Kultūras un sporta iestāžu un pasākumu ieņēmumi,6970,income_other,l10n_lv.account_chart_template_latvia,False
a6980,Pārējie sociālās infrastruktūras iestāžu un pasākumu ieņēmumi,6980,income_other,l10n_lv.account_chart_template_latvia,False
a6980,Pārējie sociālās infrastruktūras iestāžu un pasākumu ieņēmumi,6980,income_other,l10n_lv.account_chart_template_latvia,False
a7110,Izejvielu un materiālu iepirkšanas un piegādes izdevumi,7110,expense,l10n_lv.account_chart_template_latvia,False
a7120,Preču iepirkšanas un piegādes izdevumi,7120,expense,l10n_lv.account_chart_template_latvia,False
a7130,Saņemtās atlaides,7130,expense,l10n_lv.account_chart_template_latvia,False
a7140,Taras izdevumi,7140,expense,l10n_lv.account_chart_template_latvia,False
a7150,Muitas un ievednodevas,7150,expense,l10n_lv.account_chart_template_latvia,False
a7160,Pārējie ārējie izdevumi,7160,expense,l10n_lv.account_chart_template_latvia,False
a7170,Samaksa par darbiem un pakalpojumiem no ārienes,7170,expense,l10n_lv.account_chart_template_latvia,False
a7180,"Pārējie materiālie izdevumi (nodoklis par dabas resursu izmantošanu, celmu nauda u.c.)",7180,expense,l10n_lv.account_chart_template_latvia,False
a7190,Pirkto materiālu un preču krājumu un vērtības izmaiņas,7190,expense,l10n_lv.account_chart_template_latvia,False
a7210,Strādnieku algas,7210,expense,l10n_lv.account_chart_template_latvia,False
a7220,Pārvaldes personāla un administratīvā personāla algas,7220,expense,l10n_lv.account_chart_template_latvia,False
a7230,Sociālās infrastruktūras iestāžu un pasākumu darbinieku algas,7230,expense,l10n_lv.account_chart_template_latvia,False
a7240,Pārējās personāla izmaksas,7240,expense,l10n_lv.account_chart_template_latvia,False
a7310,Sociālais nodoklis,7310,expense,l10n_lv.account_chart_template_latvia,False
a7320,Pārējās sociālās izmaksas,7320,expense,l10n_lv.account_chart_template_latvia,False
a7330,Sociālās infrastruktūras iestāžu un pasākumu sociālās izmaksas,7330,expense,l10n_lv.account_chart_template_latvia,False
